description,category
boosted posts on social media,marketing
Visa fee cleared cleared today,travel
bike petrol topped up done done,transport
train to the city center today done today,transport
monthly travel pass done today,transport
saman kharida done done today today this month,shopping
Flight ticket Bangalore cleared cleared this month,travel
Monthly retainer received this month this month,salary
breakfast at the station done done,food
sabzi mandi se kharide today done cleared cleared done done this month,food
booked flights for client meeting,travel
employee medical allowance this month done today,healthcare
Diagnostic lab test done today cleared,healthcare
ghar ka bill done this month this month,utilities
Advance tax done,misc
monthly salary credited to account today done done cleared,salary
amazon done today done,shopping
mango shake and snacks cleared today today,food
evening snacks for the office today this month cleared,food
paani ka bill today done cleared,utilities
Flight ticket Bangalore done today today,travel
brand visibility spend,marketing
groceries done cleared,food
Google Workspace this month done done done,subscriptions
grocrey from dmart today today cleared,food
amazone order done this month,shopping
kaam ka paisa mila cleared,salary
Cafe Coffee Day,food
Office maintenance today,misc
Diagnostic lab test cleared today done,healthcare
Notion team done done cleared done,subscriptions
Medicine purchase cleared this month,healthcare
grocrey from dmart today done today,food
Rapido bike ride this month,transport
team celebratory dinner this month,food
Zomato lunch delivery done today,food
turned on AC so bill was high cleared,utilities
team dinner and bowling after sprint today done,entertainment
Co-working space fee this month done cleared today,rent
Inventory restock this month this month done this month,raw_material
ordered food for working late cleared this month cleared this month this month,food
Zomato lunch delivery done done this month done this month,food
Starbucks coffee cleared today,food
restocked inventory for next month,raw_material
Trello Gold done done cleared,subscriptions
breakfast at the station this month,food
Flight ticket Bangalore today today this month today,travel
Nykaa products this month this month done this month today,shopping
random office expenses this week this month today,misc
shopping ki,shopping
Packaging material done cleared today,raw_material
bought reference books for project this month today cleared this month today today,education
promotion this month,marketing
office mein sabke liye order kiya this month done cleared done cleared,food
Coursera subscription today today this month,education
software stack this month,subscriptions
monthly medicines from pharmacy cleared today done this month this month,healthcare
boadband bill done,utilities
ordered for the night shift this month today today today today this month,food
bought reference books for project this month today done cleared done,education
monthly medicines from pharmacy cleared,healthcare
exhibition in another city today,travel
monthly pantry restock cleared today this month this month this month,food
gym fees for the month this month done this month cleared,healthcare
Commercial space rent cleared this month,rent
Email marketing tool,marketing
material this month done cleared this month,raw_material
khana today,food
renewed project management tool this month,subscriptions
Zepto veggies done done cleared today,food
entertanment this month done,entertainment
Zomato lunch delivery this month,food
Canva Pro this month,subscriptions
client entertainment travel done this month cleared,travel
interstate business visit this month cleared done,travel
App project payment this month today done,salary
repiar cost cleared done today,misc
cleared 2 months pending bill done done done done,utilities
cab cleared cleared,transport
Practo consultation today,healthcare
basement storage monthly fee this month cleared,rent
netflx subscription cleared,entertainment
team dinner and bowling after sprint done done this month this month,entertainment
trade fair attendance today this month cleared done done this month today,travel
random office expenses this week cleared this month,misc
shared auto with a colleague this month,transport
saman kharida cleared this month done,shopping
training done done today cleared today done,education
received payment for last project today this month this month cleared,salary
received payment for last project today this month this month,salary
Vendor payment cleared done today,raw_material
ergonomic setup for new hire cleared,shopping
received payment for last project today this month this month today,salary
sourced from new vendor this time done cleared today,raw_material
Slack paid plan this month done,subscriptions
basement storage monthly fee this month cleared cleared,rent
gym fees for the month this month done this month this month done,healthcare
co-working subscription cleared this month,rent
material this month done cleared this month this month,raw_material
booked flights for client meeting done this month,travel
Jio prepaid 299 cleared cleared cleared,utilities
wifi router plan renewed cleared today cleared,utilities
Consultant fee paid done,salary
Wholesale goods bought today this month,raw_material
gym fees for the month cleared done done today,healthcare
Invoice #1023 credited cleared this month,salary
trade fair attendance today this month today done done done done this month cleared,travel
cab cleared done,transport
employee medical allowance this month,healthcare
workshop,education
subscribed to streaming service this month today cleared this month this month today today today,entertainment
entertanment today,entertainment
training today done done today today,education
Tata Power monthly bill today today,utilities
security system monthly charge this month cleared,utilities
nashte mein poha banana ke liye ingredients this month,food
resturant lunch this month done this month this month,food
Google Workspace this month done this month today,subscriptions
Swiggy dinner order done done today,food
ad hoc repairs and fixes today this month,misc
drove to the client site today today,transport
online course for new tool,education
Travel insurance today,travel
Notion team done today today,subscriptions
bonus credited this month done cleared,salary
rented a car for the week done,transport
Starbucks coffee cleared today done,food
nashte mein poha banana ke liye ingredients today,food
Laptop stand done today today,shopping
advance rent to landlord,rent
Inventory restock,raw_material
Meesho order cleared cleared done cleared,shopping
inventory topped up before festival,raw_material
brought food for the whole floor done cleared today cleared,food
paid the light bill online today today cleared this month,utilities
bought milk and bread from nearby store this month today this month this month,food
shoping this month cleared,shopping
Trello Gold done done cleared cleared this month,subscriptions
trade fair attendance today this month today today,travel
cofee shop cleared today,food
course done today done,education
petrol bharwaya done done,transport
dinner done this month,food
shoping this month done this month,shopping
bought books for office library this month cleared this month done,education
Professional tax done cleared today today,misc
Diagnostic lab test this month this month this month cleared,healthcare
Google Workspace today done this month,subscriptions
cab for the late evening today done today,transport
repair done today,misc
production input materials cleared today,raw_material
annual ad budget utilized done cleared this month today this month,marketing
cab,transport
Professional tax done today today done,misc
generator fuel for power cut cleared cleared done,utilities
ordered food for working late cleared this month cleared this month cleared,food
gas connection recharge cleared,utilities
Notion team done today,subscriptions
bought milk and bread from nearby store cleared today today cleared,food
doctor,healthcare
ghar ke liye rashan liya this month done,food
gym fees for the month cleared done done today cleared this month,healthcare
team attended a webinar today today cleared cleared done today today,education
ofice rent today today this month done,rent
tech accessories restocked this month this month,shopping
monthly salary credited to account today today done cleared,salary
Vendor payment done this month,raw_material
grabbed a bite near office done this month cleared this month cleared,food
Monthly office space done done cleared,rent
Flipkart laptop bag this month this month this month,shopping
Practo consultation cleared today cleared done,healthcare
Tata Power monthly bill today done this month,utilities
movie outing approved by manager this month today today,entertainment
PVR movie tickets this month done,entertainment
nashte mein poha banana ke liye ingredients cleared this month,food
Repair charges done cleared,misc
subscribed to streaming service this month today cleared this month this month today cleared cleared,entertainment
Banner printing,marketing
groceries this month done this month,food
rented a car for the week cleared done,transport
rent done this month done,rent
Hospital bill cleared,healthcare
Zoho CRM subscription today cleared done done cleared,subscriptions
Slack paid plan cleared,subscriptions
tax this month cleared this month this month,misc
Project milestone payment cleared cleared cleared today done done,salary
yaar ke saath bahar khaya this month cleared cleared this month today cleared,food
Client project payment received today,salary
monthly travel pass done today this month,transport
Figma team plan today cleared,subscriptions
booked a cab for late night return,transport
BookMyShow concert cleared,entertainment
booked flights for client meeting done today this month,travel
Piped gas bill MGNGL done this month this month this month cleared,utilities
ghar ke liye rashan liya done done this month,food
clearing the petty cash done,misc
prime today done this month,entertainment
snacks liye done done today cleared cleared,food
nashte mein poha banana ke liye ingredients today this month cleared today,food
promotion cleared done done today,marketing
Dropbox business,subscriptions
weekly vegetable haul done today today today done cleared,food
online shopping for the office,shopping
rent done this month cleared this month today,rent
bought supplies for the office cleared,shopping
return flight booked cleared,transport
paani ka bill cleared today this month,utilities
Books from Amazon done this month cleared cleared,education
payroll cleared,salary
Dropbox business done today,subscriptions
petrol refill at petorl pump cleared this month today today done,transport
petty cash for small purchases done,misc
workshop today cleared this month this month,education
repair today,misc
Advance tax this month this month done this month,misc
payroll done,salary
fuel for delivery van today this month this month cleared today cleared,transport
Staff training program,education
office mein sabke liye order kiya today cleared,food
printing karwaya today,misc
Piped gas bill MGNGL done done,utilities
SEO work for website done today today,marketing
monthly rent for the shop this month,rent
Office electricity,utilities
stock done cleared,raw_material
Training workshop fee,education
Project milestone payment cleared today cleared,salary
supplies done this month,shopping
paid for skill upgrade training today this month done done,education
repiar cost cleared done,misc
employee medical allowance cleared cleared,healthcare
inventory today today this month,raw_material
lunch cleared cleared done today,food
maal kharida done cleared cleared this month today,raw_material
shared auto with a colleague this month this month,transport
Educational software this month cleared,education
lunch cleared,food
Apollo pharmacy today today this month,healthcare
Monthly office space,rent
gym,healthcare
maal kharida done cleared cleared this month,raw_material
trade fair attendance today this month today today this month this month,travel
small stuff that adds up today cleared this month cleared this month,misc
ordered for the night shift this month today today done,food
yaar ke saath bahar khaya this month cleared done cleared done,food
ghar ka ration today,food
Staples stationery today cleared this month,shopping
electricity,utilities
Medicine purchase cleared today,healthcare
Office rent March cleared done this month,rent
Society maintenance cleared today today,utilities
lead generation campaign this month,marketing
amazon done today,shopping
booked flights for client meeting today done,travel
cleared rent dues done today,rent
entertanment cleared today cleared,entertainment
Project milestone payment cleared today today cleared,salary
office ka khana done done this month,food
course cleared this month cleared,education
Office rent March cleared done done,rent
Monthly retainer received done done today this month,salary
trade fair attendance today this month today done this month done today,travel
office drop arranged,transport
bought milk and bread from nearby store cleared today today done,food
Escape room cleared this month today today,entertainment
office rent today this month today this month,rent
ordered food for working late this month,food
flight today today today,travel
Hotel booking Mumbai cleared today cleared done today,travel
Friday movie night today done this month,entertainment
PVR movie tickets this month done this month done,entertainment
Freelance project completed this month,salary
brought food for the whole floor done cleared today done done cleared,food
snacks liye done done today,food
Team outing Goa done cleared,entertainment
went out with client for dinner,food
Project milestone payment cleared today cleared today done,salary
dawai li cleared,healthcare
Blinkit instant order this month,food
cleared 2 months pending bill done done done done today,utilities
Jio Fiber broadband done this month,utilities
Trello Gold done today done,subscriptions
sourced from new vendor this time today cleared today today,raw_material
Uber cab to airport this month done done cleared,transport
office ka khana done today done cleared,food
Google Ads campaign done cleared today,marketing
medicine done,healthcare
Nykaa products this month today done,shopping
repair today this month done,misc
Amazon office supplies today,shopping
kaam ka paisa mila cleared this month today this month,salary
turned on AC so bill was high done,utilities
back pain treatment ongoing cleared,healthcare
khana this month today today,food
travell expense done cleared,transport
Project milestone payment this month done today,salary
paani ka bill today done done cleared,utilities
saman kharida done this month,shopping
Blood test this month cleared today done this month today,healthcare
production input materials this month cleared,raw_material
kiraya diya,rent
office drop arranged cleared,transport
trade fair attendance today this month today done done done cleared,travel
primme video today this month today done,entertainment
trade fair attendance today today this month,travel
levelling up the team skills this month,education
physio session after injury this month,healthcare
Project milestone payment this month,salary
Dropbox business done today done done,subscriptions
brought food for the whole floor done cleared done today this month cleared,food
Library subscription today cleared cleared cleared,education
Inventory restock done done this month today,raw_material
Canva Pro this month today this month,subscriptions
nashte mein poha banana ke liye ingredients,food
Zepto veggies done done cleared,food
Escape room,entertainment
Printer cartridge cleared,shopping
Slack paid plan this month done cleared,subscriptions
flipkart cleared cleared today,shopping
pharmcy today today cleared,healthcare
workshop today done today,education
Apollo pharmacy today today this month cleared,healthcare
vision correction glasses cleared done,healthcare
return flight booked today today today cleared,transport
annual maintenance of AC this month cleared,utilities
interstate business visit this month cleared cleared,travel
cold coffee for two today this month cleared,food
Consultant fee paid,salary
hospital today today,healthcare
team attended a webinar today this month today cleared,education
basement storage monthly fee this month cleared this month,rent
Influencer collaboration cleared done today this month cleared done,marketing
Big Basket groceries today today this month this month today,food
booked flights for client meeting done cleared this month done,travel
Big Basket groceries today done cleared,food
received outstanding from old project cleared done,salary
supplier ko diya this month done,raw_material
brand visibility spend this month,marketing
entertanment today this month,entertainment
Coursera subscription today this month cleared,education
Swiggy dinner order today cleared,food
Auto fare to station today,transport
showroom lease this month this month done,rent
Coursera subscription today this month today this month,education
flight today today this month done today,travel
Dropbox business this month done,subscriptions
first aid kit restocked,healthcare
annual renewal done today,subscriptions
Studio rent payment cleared,rent
Commercial space rent cleared,rent
Flight ticket Bangalore today today cleared today,travel
ordered food for working late cleared this month cleared,food
Supplier payment cleared,raw_material
Big Basket groceries today cleared done cleared,food
Courier charges done today cleared,misc
food cleared,food
App project payment this month today cleared cleared,salary
payroll this month,salary
hotel for conference stay cleared done cleared this month today,travel
sabzi mandi se kharide today done cleared cleared,food
annual plan cheaper than monthly this month done cleared done cleared done,subscriptions
InDrive cab this month today,transport
Apollo pharmacy today today today,healthcare
sabzi mandi se kharide today cleared,food
BSNL landline done this month,utilities
Dominos pizza this month,food
vendor this month done,raw_material
Influencer collaboration cleared done today done,marketing
gas bill done this month,utilities
supplies done,shopping
travel done this month,travel
recharge metro for the week today this month,transport
doctor this month today today,healthcare
interstate business visit cleared today this month,travel
BSES electricity bill this month this month,utilities
AWS monthly bill done cleared this month done,subscriptions
Flipkart laptop bag this month done today,shopping
Supplier payment,raw_material
trade fair attendance today this month today done done cleared cleared,travel
Coursera subscription today today cleared,education
training done done done today,education
sabzi mandi se kharide today,food
auto cleared cleared,transport
hotel for conference stay this month done,travel
monthly medicines from pharmacy done this month today,healthcare
Weekend outing cleared cleared this month done,entertainment
received payment for last project today this month today today cleared,salary
Health insurance premium this month,healthcare
interstate business visit this month this month done,travel
new sim card for office staff done,utilities
mango shake and snacks,food
SEO work for website done done,marketing
Google Ads campaign done done,marketing
subscribed to binge something new done cleared cleared this month,entertainment
Blinkit instant order cleared cleared,food
annual maintenance of AC this month today this month done,utilities
team attended a webinar today today cleared,education
MakeMyTrip package today today this month done,travel
gym fees for the month this month this month this month,healthcare
Bowling alley cleared today cleared cleared,entertainment
Studio rent payment cleared this month cleared today,rent
online shopping for the office done done this month,shopping
Advance tax this month this month cleared,misc
repair today this month this month,misc
covid test before travel cleared,healthcare
MakeMyTrip package today today today today,travel
Health insurance premium,healthcare
Visa fee today,travel
sabzi mandi se kharide cleared done,food
monthly medicines from pharmacy done done,healthcare
breakfast at the station done this month,food
Jio prepaid 299 cleared done cleared,utilities
ads,marketing
train to the city center today cleared,transport
Zomato lunch delivery done today today,food
InDrive cab this month,transport
paid for skill upgrade training cleared this month this month,education
petty cash for small purchases today,misc
team celebratory dinner today,food
groceries cleared,food
shared auto with a colleague today,transport
uber cleared cleared this month,transport
ad hoc repairs and fixes today cleared today,misc
evening snacks for the office,food
Commercial space rent today,rent
Big Basket groceries cleared cleared,food
Parking fee this month this month,transport
dawa kharidi this month cleared,healthcare
Piped gas bill MGNGL done this month,utilities
hospital today this month,healthcare
employee medical allowance this month done done today cleared,healthcare
internet,utilities
Influencer collaboration cleared,marketing
health,healthcare
breakfast at the station done this month today this month,food
travell expense this month,transport
ola,transport
Client visit Hyderabad cleared,travel
train to the city center today done,transport
rentt payment done,rent
paid for the warehouse space this month cleared done,rent
Studio rent payment,rent
tech accessories restocked this month today this month,shopping
employee medical allowance cleared this month today,healthcare
repiar cost cleared done done,misc
Client visit Hyderabad this month today cleared,travel
Stock purchase cleared,raw_material
Client visit Hyderabad this month done,travel
dinner done this month done,food
monthly medicines from pharmacy cleared done,healthcare
office mein sabke liye order kiya this month done cleared cleared,food
Advance tax done today,misc
rent done this month cleared,rent
Bowling alley cleared today cleared this month done,entertainment
annual ad budget utilized done done,marketing
cleared rent dues done today done today done today,rent
Trello Gold done today,subscriptions
Swiggy dinner order done this month done,food
cheezein kharidi cleared today,shopping
rent done done today,rent
flipkart this month this month cleared,shopping
Books from Amazon done today done,education
workshop today cleared cleared done cleared,education
Piped gas bill MGNGL done this month this month done cleared this month,utilities
gym done,healthcare
breakfast at the station done done today today done,food
received payment for last project today this month this month done today,salary
amazon done this month done,shopping
auto cleared,transport
ola auto booked early morning done this month this month,transport
physio session after injury done this month done done,healthcare
Staff salary payment,salary
netflx subscription,entertainment
team attended a webinar today this month this month,education
client sent money for the job done cleared,salary
saas subscription cleared done today today,subscriptions
miscelanious,misc
Metro card recharge today,transport
cheezein kharidi this month today today,shopping
Hospital bill done this month,healthcare
saman kharida done this month today cleared this month today today today cleared,shopping
Practo consultation cleared this month cleared done cleared cleared,healthcare
miscelanious this month cleared,misc
ordered food for working late cleared this month cleared today today done done,food
MakeMyTrip package today today today done,travel
Contract staff wages cleared this month done cleared this month,salary
Practo consultation cleared this month this month today today,healthcare
yaar ke saath bahar khaya this month cleared,food
Bulk order material today,raw_material
pizza party for the launch,food
Gaming recharge BGMI cleared done cleared,entertainment
Vendor payment cleared this month,raw_material
paani ka bill today done cleared done this month,utilities
entertanment cleared,entertainment
cleared utility dues,utilities
Petrol refill at HP cleared,transport
Apollo pharmacy,healthcare
Books from Amazon done this month today,education
first of the month kiraya sorted this month cleared,rent
fuel for delivery van today today today,transport
MakeMyTrip package this month done,travel
Metro card recharge cleared today,transport
employee medical allowance cleared cleared today,healthcare
medicine done today cleared,healthcare
entertanment cleared today,entertainment
Bowling alley cleared today,entertainment
ordered food for working late cleared done today this month this month,food
trade fair attendance today this month today done done done,travel
Flight ticket Bangalore today today this month,travel
paid for digital marketing today,marketing
Influencer collaboration cleared today this month,marketing
miscelanious done this month,misc
AWS monthly bill this month,subscriptions
Content creation fee done cleared,marketing
DMart monthly grocery today cleared cleared cleared,food
vendor cleared today done,raw_material
Piped gas bill MGNGL done this month cleared this month,utilities
Monthly retainer received done done,salary
Keyboard mouse set this month,shopping
Educational software done today,education
Blood test this month cleared today done cleared this month cleared,healthcare
mango shake and snacks cleared today,food
Freelance project completed today done cleared this month,salary
sabzi mandi se kharide,food
App project payment this month today,salary
ordered new chairs for team done today cleared,shopping
Library subscription today,education
stock this month today today,raw_material
Restaurant dinner this month this month,food
paid for skill upgrade training today this month done cleared,education
annual ad budget utilized cleared cleared cleared,marketing
Weekend outing cleared cleared today today,entertainment
Dominos pizza this month done today done this month,food
cleared 2 months pending bill done done done done cleared,utilities
resturant lunch today this month cleared,food
Inventory restock this month this month done today,raw_material
Slack paid plan cleared done,subscriptions
movie this month cleared done,entertainment
interstate business visit today today today,travel
gym done cleared,healthcare
materials for the big project this month cleared cleared,raw_material
khana order kiya,food
chai cleared done this month,food
Bowling alley done cleared done,entertainment
sabzi mandi se kharide today done today,food
paid for skill upgrade training done today this month done,education
routine health checkup done,healthcare
paid the light bill online today today done today this month,utilities
Microsoft 365 this month done,subscriptions
training today this month,education
gym fees for the month cleared done done cleared,healthcare
fuel for the office vehicle done today,transport
Coursera subscription this month this month this month,education
Advance tax this month this month done,misc
Pamphlet distribution done,marketing
Inventory restock done done cleared today,raw_material
highway trip for material pickup this month,transport
ordered food for working late cleared done cleared,food
paid for skill upgrade training cleared this month done done,education
annual maintenance of AC this month today done cleared this month,utilities
online course for new tool cleared,education
vision correction glasses cleared this month this month cleared,healthcare
ola auto booked early morning,transport
Office rent March,rent
Laptop stand done,shopping
BSES electricity bill this month cleared today,utilities
Tata Power monthly bill today this month done this month,utilities
Hospital bill done today,healthcare
Cafe Coffee Day this month done,food
Travel insurance today this month,travel
trade fair attendance today this month today,travel
BSNL landline,utilities
Office rent March cleared,rent
books today today,education
Eye checkup cleared this month,healthcare
shoping cleared cleared,shopping
AWS monthly bill this month done,subscriptions
weekend trip with family cleared cleared this month,entertainment
gas connection recharge done today,utilities
Jio prepaid 299 today,utilities
Email marketing tool done cleared cleared,marketing
AWS monthly bill today done today today today,subscriptions
gym fees for the month this month this month done,healthcare
basement storage monthly fee this month this month,rent
gas connection recharge done done cleared done,utilities
Medicine purchase cleared cleared,healthcare
team got their dues today,salary
highway trip for material pickup,transport
chai aur nashta this month today,food
subscribed to binge something new done cleared this month,entertainment
training today done,education
maintanence charge done this month,utilities
stationary purchase this month cleared,shopping
grabbed a bite near office done this month cleared this month this month,food
shopping,shopping
return flight booked today today cleared done,transport
interstate business visit cleared today this month done,travel
bought milk and bread from nearby store cleared done,food
Inventory restock done done this month cleared,raw_material
Project milestone payment cleared today cleared this month,salary
Coursera subscription today today this month today,education
Employee wages,salary
breakfast at the station done cleared,food
cleared rent dues cleared,rent
makaan malik ko diya,rent
annual plan cheaper than monthly today cleared done,subscriptions
Educational software done cleared,education
kaam ka paisa mila cleared this month today this month today,salary
Coursera subscription today this month,education
Influencer collaboration cleared cleared today cleared,marketing
chai aur nashta today done cleared,food
padhai ke liye kharcha this month today today,education
Website development payment cleared cleared,salary
Figma team plan cleared cleared,subscriptions
shopping ki cleared,shopping
paid the light bill online today today done,utilities
Coursera subscription done today today today done cleared,education
miscelanious done done this month done,misc
repiar cost cleared done cleared,misc
Email marketing tool done,marketing
dinner done this month cleared,food
Gaming recharge BGMI,entertainment
grabbed a bite near office done today,food
subscribed to streaming service this month today cleared this month this month today cleared,entertainment
bought books for office library this month cleared,education
replacement parts for equipment cleared,shopping
Dominos pizza this month today cleared,food
fruits and vegetables from local vendor today done,food
vendor cleared done done,raw_material
bought milk and bread from nearby store cleared today,food
saas subscription cleared done today done done today,subscriptions
booked a cab for late night return cleared done today,transport
Jio Fiber broadband done done today,utilities
cold coffee for two today,food
halwai se mithai li diwali ke liye this month done cleared today,food
Office maintenance cleared this month,misc
Train ticket Mumbai this month cleared cleared cleared today today,transport
ola cleared this month done this month,transport
tech accessories restocked cleared this month today,shopping
flipkart this month done,shopping
Conference travel Delhi done,travel
paid for the warehouse space this month cleared this month,rent
security system monthly charge this month this month,utilities
ordered food for working late this month today,food
Bulk order material,raw_material
workshop done this month done,education
Petty cash withdrawal done,misc
entertanment today this month today,entertainment
maitenance cleared done,misc
Project milestone payment cleared today cleared today,salary
pizza party for the launch this month,food
stationary purchase done this month this month done,shopping
flipkart today cleared cleared,shopping
Monthly retainer received this month cleared,salary
Coursera subscription done today,education
Amazon office supplies cleared today done,shopping
fun evening after a long sprint this month,entertainment
lead generation campaign,marketing
flight this month done,travel
saas subscription cleared done today this month,subscriptions
team attended a webinar done done done this month,education
movie outing approved by manager this month done done this month,entertainment
nashte mein poha banana ke liye ingredients today this month cleared this month,food
yaar ke saath bahar khaya cleared done cleared cleared,food
saas subscription done this month,subscriptions
mango shake and snacks cleared,food
halwai se mithai li diwali ke liye this month cleared cleared this month this month,food
Trello Gold done done cleared cleared,subscriptions
Water bill MCGM today cleared,utilities
Slack paid plan done this month done,subscriptions
Office electricity cleared done this month cleared,utilities
MakeMyTrip package today today today today done,travel
Jio prepaid 299 cleared done done,utilities
team dinner and bowling after sprint done,entertainment
Practo consultation cleared done,healthcare
vendor cleared today cleared this month today,raw_material
misc cleared,misc
material this month done cleared,raw_material
Restaurant dinner this month,food
Stock purchase this month this month this month cleared done,raw_material
generator fuel for power cut cleared today cleared,utilities
office ka khana done done cleared,food
MakeMyTrip package today today today today cleared this month,travel
khane pe kharcha cleared cleared,food
PVR movie tickets this month cleared done,entertainment
training done done today,education
lead generation campaign done cleared this month,marketing
subscribed to streaming service this month today cleared this month this month today,entertainment
Professional tax done today this month today,misc
training cleared cleared,education
wifi router plan renewed cleared this month,utilities
ghar ke liye rashan liya cleared cleared,food
Project milestone payment cleared today this month today,salary
shopping ki cleared this month cleared this month today this month,shopping
subscribed to streaming service this month,entertainment
team attended a webinar today today cleared this month,education
cold coffee for two cleared,food
Flight ticket Bangalore cleared this month,travel
shopping ki cleared this month this month,shopping
upskilling budget used this month this month cleared done,education
paid the light bill online today today,utilities
Big Basket groceries today,food
Petty cash withdrawal done this month this month,misc
Pamphlet distribution this month,marketing
amazone order this month,shopping
saman kharida done done today cleared this month this month,shopping
paid the team for this month done cleared,salary
Medicine purchase today done done,healthcare
sabzi mandi se kharide today this month cleared cleared,food
team outing cab booking,transport
ola auto booked early morning done this month this month today today,transport
kiraya diya done this month,rent
doctor this month,healthcare
vision correction glasses done today,healthcare
gym fees for the month cleared done done this month,healthcare
Hospital bill done done,healthcare
repiar cost done today this month,misc
wifi down upgraded plan,utilities
team dinner and bowling after sprint done done this month cleared today cleared,entertainment
gas bill today today done this month,utilities
Parking fee this month done this month,transport
Trello Gold today cleared,subscriptions
flipkart today,shopping
received payment for last project today this month this month done cleared today cleared,salary
monthly salary credited to account this month done today cleared,salary
workshop done this month done cleared,education
khane pe kharcha cleared done,food
entertanment cleared done,entertainment
team celebratory dinner cleared this month,food
weekly vegetable haul done done cleared,food
Office rent March cleared done today,rent
groceries this month this month today cleared,food
train to the city center today today done,transport
annual ad budget utilized done cleared this month this month today,marketing
kaam ka paisa mila cleared this month today,salary
interstate business visit cleared today cleared,travel
weekly vegetable haul done done today,food
sourced from new vendor this time this month,raw_material
turned on AC so bill was high today,utilities
vendor cleared today,raw_material
ordered food for working late this month done,food
Practo consultation today done done,healthcare
petrol bharwaya done,transport
team deserved a break so outing,entertainment
MakeMyTrip package today today today this month done,travel
Client visit Hyderabad done cleared,travel
annual maintenance of AC this month today done,utilities
salary cleared,salary
training done done today today,education
received payment for last project today,salary
stock,raw_material
vision correction glasses,healthcare
Professional tax done cleared done cleared,misc
client sent money for the job cleared this month,salary
Flipkart laptop bag this month this month this month today,shopping
rent done this month cleared this month,rent
gas bill done cleared this month,utilities
lunch this month this month today,food
Content creation fee this month today cleared,marketing
electricity today,utilities
Printer cartridge cleared done,shopping
shared auto with a colleague cleared,transport
bought reference books for project this month today cleared this month done,education
Hotstar annual done cleared today this month,entertainment
Inventory restock this month this month done cleared done,raw_material
co-working subscription cleared this month cleared this month,rent
Microsoft 365 done today,subscriptions
client entertainment travel done cleared this month done cleared,travel
primme video today today,entertainment
yaar ke saath bahar khaya this month cleared done today,food
workshop done this month cleared cleared cleared this month,education
repair today today,misc
Monthly retainer received done cleared cleared,salary
new sim card for office staff cleared cleared done,utilities
monthly pantry restock cleared today this month this month,food
ordered food for working late this month this month,food
maitenance cleared,misc
went out with client for dinner today today this month,food
replacement parts for equipment cleared done,shopping
weekly vegetable haul done today today today done,food
Diagnostic lab test,healthcare
Hospital bill done cleared,healthcare
tech accessories restocked this month cleared,shopping
Staff training program this month,education
Slack paid plan this month,subscriptions
Meesho order done cleared,shopping
App project payment this month cleared,salary
cheezein kharidi done this month,shopping
BSES electricity bill cleared,utilities
went out with client for dinner cleared today this month today,food
trade fair attendance today this month cleared cleared cleared done,travel
Practo consultation cleared today cleared cleared,healthcare
fruits and vegetables from local vendor this month cleared,food
bonus credited this month done cleared done,salary
received outstanding from old project cleared this month done today,salary
SEO service payment cleared this month,marketing
wifi down upgraded plan cleared,utilities
wifi router plan renewed this month this month this month,utilities
office ka khana done done cleared done cleared,food
Coursera subscription today this month today cleared,education
gym fees for the month cleared done done today cleared,healthcare
clearing the petty cash today done,misc
annual maintenance of AC this month today done this month cleared cleared this month this month,utilities
brand visibility spend done today,marketing
Google Workspace today done done,subscriptions
grocrey from dmart today this month today today this month,food
grocrey from dmart today today cleared cleared this month done today,food
petrol bharwaya done this month,transport
Educational software done today today cleared,education
travell expense cleared cleared,transport
Big Basket groceries today done done cleared,food
Parking fee this month,transport
material this month done,raw_material
workshop today cleared cleared cleared,education
Inventory restock this month this month done this month cleared done,raw_material
inventory topped up before festival today today today,raw_material
training done done today cleared done,education
Tata Power monthly bill today,utilities
monthly medicines from pharmacy done cleared,healthcare
bought reference books for project this month,education
amazone order today today,shopping
software plan this month this month this month,subscriptions
workshop done this month done today,education
Educational software done today today this month this month,education
ghar ka ration this month,food
Travel insurance this month today,travel
paid supplier for bulk order,raw_material
received outstanding from old project this month,salary
bought milk and bread from nearby store done this month,food
Payment from ABC Corp cleared today today cleared this month,salary
shared auto with a colleague done done,transport
Piped gas bill MGNGL,utilities
subscribed to streaming service today this month,entertainment
client entertainment travel done cleared this month done cleared today,travel
Monthly retainer received cleared,salary
paid for the warehouse space this month cleared done today,rent
monthly SaaS charges cleared done,subscriptions
sabzi mandi se kharide today this month cleared cleared today,food
repair this month,misc
random charges this week today this month,misc
gas connection recharge,utilities
team attended a webinar today today today done,education
Office electricity cleared done this month,utilities
Packaging material cleared cleared,raw_material
stock bharwaya this month,raw_material
Packaging material cleared today cleared,raw_material
small stuff that adds up today cleared cleared,misc
snacks liye done,food
Microsoft 365 this month done today cleared,subscriptions
bought milk and bread from nearby store cleared,food
Supplier payment today this month cleared,raw_material
GitHub Pro cleared,subscriptions
Ola ride to client today today today,transport
nashte mein poha banana ke liye ingredients cleared done,food
chai cleared done,food
Coursera subscription this month cleared,education
saman kharida done done,shopping
Printer cartridge cleared today,shopping
annual renewal done this month today today,subscriptions
snacks liye done done today cleared today,food
Train ticket Mumbai today cleared done,transport
trade fair attendance today this month cleared cleared,travel
client entertainment travel done today,travel
travell expense cleared cleared done,transport
saas subscription cleared done today done this month,subscriptions
trade fair attendance today,travel
makaan malik ko diya today,rent
generator fuel for power cut cleared cleared this month,utilities
Doctor visit fee cleared,healthcare
